"code","uri","label_en","label_fr"
"B0",NA,"Less than 5% of the boats covered","Moins de 5% des bateaux échantillonnés"
"B1",NA,"Between 5%-9% of the boats covered","Entre 5%-9% des bateaux échantillonnés"
"B3",NA,"Between 10%-29% of the boats covered","Entre 10%-29% des bateaux échantillonnés"
"B7",NA,"Between 30%-69% of the boats covered","Entre 30%-69% des bateaux échantillonnés"
"B9",NA,"70% or more of the boats covered","70% ou plus des bateaux échantillonnés"
"N0",NA,"Less than 5% of the fish sampled (in number)","Moins de 5% des poissons échantillonnés (en nombre)"
"N1",NA,"Between 5%-9% of the fish sampled (in number)","Entre 5%-9% des poissons échantillonnés (en nombre)"
"N3",NA,"Between 10%-29% of the fish sampled (in number)","Entre 10%-29% des poissons échantillonnés (en nombre)"
"N7",NA,"Between 30%-69% of the fish sampled (in number)","Entre 30%-69% des poissons échantillonnés (en nombre)"
"N9",NA,"70% or more of the fish sampled (in number)","70% ou plus des poissons échantillonnés (en nombre)"
"T0",NA,"Less than 5% of the trips covered","Moins de 5% des marées échantillonnées"
"T1",NA,"Between 5%-9% of the trips covered","Entre 5%-9% des marées échantillonnées"
"T3",NA,"Between 10%-29% of the trips covered","Entre 10%-29% des marées échantillonnées"
"T7",NA,"Between 30%-69% of the trips covered","Entre 30%-69% des marées échantillonnées"
"T9",NA,"70% or more of the trips covered","70% ou plus des marées échantillonnées"
"UN",NA,"Unknown","Inconnue"
"UP",NA,"Statistics partially raised; coverage unknown","Données partialement élevées; couverture inconnue"
"UR",NA,"Statistics raised; coverage unknown","Données élevées; couverture inconnue"
"US",NA,"Statistics not raised; coverage unknown","Données non-élevées; couverture inconnue"
"UT",NA,"Total enumeration","Énumération totale"
"UU",NA,"Not sampled","Non-échantillonné"
"W0",NA,"Less than 5% of the fish sampled (in weight)","Moins de 5% des poissons échantillonnés (en poids)"
"W1",NA,"Between 5%-9% of the fish sampled (in weight)","Entre 5%-9% des poissons échantillonnés (en poids)"
"W3",NA,"Between 10%-29% of the fish sampled (in weight)","Entre 10%-29% des poissons échantillonnés (en poids)"
"W7",NA,"Between 30%-69% of the fish sampled (in weight)","Entre 30%-69% des poissons échantillonnés (en poids)"
"W9",NA,"70% or more of the fish sampled (in weight)","70% ou plus des poissons échantillonnés (en poids)"
